"id","article_id","question","answer","display_order","is_active","created_at","updated_at"
"0016b76a-7388-48dd-a33c-a96e8dcd54a7","15eb48d1-8a9f-4df5-81cb-3def27b3d8be","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:54.010Z""","""2026-01-07T18:43:54.010Z"""
"027d010a-bc2f-4f0f-84a9-67472e547804","527caf3c-9ac8-4177-93df-e5bdfbd10356","What are the most common causes of falls in seniors?","Common causes include poor lighting, slippery or uneven surfaces, loose rugs, clutter in walkways, inappropriate footwear, medication side effects, vision problems, and muscle weakness. Many falls result from a combination of factors. Addressing environmental hazards while also managing health factors provides the best protection.","0","yes","""2026-01-07T18:56:18.419Z""","""2026-01-07T18:56:18.419Z"""
"028e55c8-1fc6-4152-be2c-245ca754f44a","1b10a860-eee8-4d07-80ac-1a4efc285dfd","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:26.722Z""","""2026-01-07T18:43:26.722Z"""
"03653275-11d7-42a8-8102-36b46e27d78d","2bc48fb4-8b4e-42c0-a3dc-3b91925dbae4","Is it normal to feel resentful as a caregiver?","Absolutely. Resentment is a common and normal feeling among caregivers. You may resent the person you're caring for, other family members who don't help, or the situation itself. Acknowledging these feelings without guilt is important. Consider talking to a counselor or joining a support group where you can express these emotions safely.","0","yes","""2026-01-07T18:56:17.574Z""","""2026-01-07T18:56:17.574Z"""
"04f7e989-297b-40a9-b143-9f8d9108fd2c","41842c76-bd47-4fd3-bc11-09e30796de0b","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:54.535Z""","""2026-01-07T18:43:54.535Z"""
"05c9b1e8-2c44-4e46-b8aa-ef0ae19b90fa","257394fb-db1a-4d09-afa0-cb18b70767c1","What should I know about the benefits of pet therapy for seniors?","Understanding the benefits of pet therapy for seniors is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:34.987Z""","""2026-01-07T18:43:34.987Z"""
"06f47533-ca7c-4e07-9b47-751b37caea3e","e6f120df-4696-4eb5-9a91-977f480647c4","What should I know about how to manage incontinence with dignity?","Understanding how to manage incontinence with dignity is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:32.334Z""","""2026-01-07T18:43:32.334Z"""
"071d376d-0823-408a-b111-794a1191721b","4d4e9a97-b573-4e42-a291-55f8cc24e790","What should I know about understanding veterans benefits for home care?","Understanding understanding veterans benefits for home care is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:24.516Z""","""2026-01-07T18:43:24.516Z"""
"08371db5-9492-49f7-aef0-10887983595e","1dca1c12-be0b-421f-b181-014fdc73f99f","What should I know about the role of nutrition in dementia care?","Understanding the role of nutrition in dementia care is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:32.867Z""","""2026-01-07T18:43:32.867Z"""
"091695a4-89fa-422f-b5c5-f1ca024976a6","6d145660-7f01-45dc-9bb0-e896171c649e","What should I know about how to handle difficult behaviors in dementia care?","Understanding how to handle difficult behaviors in dementia care is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:22.434Z""","""2026-01-07T18:43:22.434Z"""
"0b336982-1227-4a7e-b903-4eb6420f6aea","c4170c73-8731-41b1-ae78-b88e5a664465","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:16.293Z""","""2026-01-07T18:43:16.293Z"""
"0b7fdb5d-6c00-4bb7-8146-4b81fc88fa29","dc199bdf-d04d-4f45-9182-83ec117ec314","Can in-home care prevent nursing home placement?","Yes, in many cases. In-home care allows seniors to age in place safely and can delay or prevent the need for facility-based care, which is often preferred by seniors and more cost-effective.","3","yes","""2026-01-07T18:43:03.622Z""","""2026-01-07T18:43:03.622Z"""
"0e505f56-da1b-4f0b-a471-5086c0665b19","6e9acbdf-7d88-4b9d-a2bf-5dc9bd738da8","How much does companion care cost?","Companion care in Massachusetts typically costs $25-$30 per hour, slightly less than personal care. Many families start with a few hours per week and increase as needed.","0","yes","""2026-01-07T18:43:09.297Z""","""2026-01-07T18:43:09.297Z"""
"0facc21c-0868-47f2-baeb-bede145dc910","e5cdd956-1f13-49bb-9a6a-414074cd50f4","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:38.850Z""","""2026-01-07T18:43:38.850Z"""
"13ff6ca0-bf35-4bda-bd13-842972053ac5","591cf7c1-7cc2-4f6a-a077-db7e6b906109","What should I know about the importance of skin care for seniors?","Understanding the importance of skin care for seniors is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:44.519Z""","""2026-01-07T18:43:44.519Z"""
"14d0d0ed-d804-4a02-87f5-24199a95ca94","7584ca79-2733-475d-b295-6566c1fd30d4","How can PrivateInHomeCareGiver help?","Our experienced caregivers can provide personalized support for your family's needs. Contact us for a free assessment and consultation.","1","yes","""2026-01-07T18:43:56.106Z""","""2026-01-07T18:43:56.106Z"""
"162dcf66-4a10-4bab-a15b-2a5f93fecf9c","dc2fe6c7-7e4a-4e00-aa8a-01f1d8e85632","What should I know about understanding copd and home care needs?","Understanding understanding copd and home care needs is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:31.817Z""","""2026-01-07T18:43:31.817Z"""
"170b1994-8184-477d-bf8a-28b083e64cb5","e4a10af7-0212-400e-b239-1e15e7e64d72","What should I know about understanding parkinson's disease and care needs?","Understanding understanding parkinson's disease and care needs is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:21.912Z""","""2026-01-07T18:43:21.912Z"""
"172cf0f0-d60d-45b6-97a5-ef00079d1c85","527caf3c-9ac8-4177-93df-e5bdfbd10356","What is a medical alert system and do I need one?","Medical alert systems are wearable devices (pendants or watches) with emergency buttons that connect to a 24/7 monitoring center. When pressed, help is dispatched. Many now include automatic fall detection. They're recommended for seniors living alone, those with fall history, and anyone with health conditions that could cause emergencies.","2","yes","""2026-01-07T18:56:18.645Z""","""2026-01-07T18:56:18.645Z"""
"1903b3a1-c168-4778-b512-4dfeaa4f2447","4887c806-5465-4c7b-ae64-14c773dda47a","What should I know about financial assistance programs for massachusetts seniors?","Understanding financial assistance programs for massachusetts seniors is important for providing quality care. Start by assessing your specific situation and consulting with healthcare professionals or care coordinators.","0","yes","""2026-01-07T18:43:22.950Z""","""2026-01-07T18:43:22.950Z"""
